Organization,Followed On
"NTT DATA, Inc.",Fri Aug 01 18:12:40 UTC 2025
NTT DATA,Fri Aug 01 18:12:34 UTC 2025
Quarterhill Inc.,Fri Jul 04 14:27:38 UTC 2025
Colégio Santa Cecília - Ceará,Mon Apr 07 12:39:49 UTC 2025
Clan,Wed Feb 05 07:14:46 UTC 2025
LSBD - UFC,Tue Nov 19 15:27:39 UTC 2024
XP Educação,Mon Sep 23 18:12:55 UTC 2024
Skyone,Wed Jul 05 10:21:42 UTC 2023
DM,Wed Apr 12 23:09:58 UTC 2023
FM2S Educação e Consultoria,Thu Feb 09 12:55:40 UTC 2023
Zeev by Stoque,Wed Oct 05 11:19:29 UTC 2022
Paschoalotto,Wed Aug 31 21:00:04 UTC 2022
42 São Paulo,Tue Jul 26 02:09:16 UTC 2022
Mercado Livre,Fri Jul 08 16:45:40 UTC 2022
Grupo de Comunicação O POVO,Fri Jul 08 16:45:39 UTC 2022
Brabo Burger,Fri Jul 08 16:45:24 UTC 2022
Drogasil,Sat Jun 04 12:24:27 UTC 2022
ioasys,Sat May 21 14:00:53 UTC 2022
Nucleo Tecnologia,Sat May 21 10:02:29 UTC 2022
Sinch,Mon May 16 18:23:19 UTC 2022
Fortaleza Esporte Clube,Sun May 15 00:40:11 UTC 2022
Reply,Mon May 09 00:13:45 UTC 2022
Grupo Easy - Consultoria e Serviços,Wed May 04 16:53:26 UTC 2022
Grace Consulting Impacting People´s Live,Wed May 04 16:53:21 UTC 2022
Festival da Tecnologia,Wed May 04 16:26:09 UTC 2022
NBCC Consulting,Tue May 03 11:00:28 UTC 2022
Orkut,Tue May 03 10:37:39 UTC 2022
Stone,Mon May 02 18:47:39 UTC 2022
Ponce Tech,Mon May 02 01:23:15 UTC 2022
Psm Company,Mon May 02 01:19:53 UTC 2022
6place ,Mon Apr 25 20:08:30 UTC 2022
Horus Solutions,Mon Apr 25 16:03:32 UTC 2022
Wipro,Fri Apr 22 13:02:24 UTC 2022
Lock&Stock (now SecureMyScholarship),Wed Apr 20 13:00:57 UTC 2022
Stefanini Brasil,Wed Apr 20 12:47:14 UTC 2022
First Decision,Tue Apr 19 13:08:19 UTC 2022
Secretaria da Segurança Pública da Bahia,Thu Apr 14 20:07:11 UTC 2022
Cognizant,Thu Apr 07 16:38:35 UTC 2022
Decskill,Fri Apr 01 01:52:55 UTC 2022
Nelogica,Fri Apr 01 01:40:46 UTC 2022
UOL - Universo Online,Fri Apr 01 01:36:27 UTC 2022
Grupo Services,Fri Apr 01 01:26:15 UTC 2022
Edge UOL,Fri Apr 01 01:25:38 UTC 2022
LinkedIn Guide to Creating,Fri Apr 01 01:18:55 UTC 2022
F1RST Digital Services,Fri Apr 01 01:11:06 UTC 2022
Indra,Tue Mar 29 08:33:34 UTC 2022
Wrike,Thu Mar 24 00:20:26 UTC 2022
Winning,Wed Mar 23 23:40:11 UTC 2022
Programmers.io,Wed Mar 23 23:36:24 UTC 2022
Somapay Digital Bank,Sun Mar 20 22:09:44 UTC 2022
4Linux,Thu Mar 17 18:41:53 UTC 2022
Ambev Tech,Thu Mar 10 15:00:55 UTC 2022
Stefanini Group,Fri Feb 18 11:42:02 UTC 2022
Liberdata Consultoria Empresarial,Fri Feb 04 14:44:17 UTC 2022
Gera Sales Ecosystem,Mon Jan 31 14:26:03 UTC 2022
Mobills Educação Financeira,Fri Jan 28 10:35:35 UTC 2022
Mobills,Fri Jan 28 10:34:19 UTC 2022
Power Tuning,Mon Jan 24 18:33:17 UTC 2022
Hitachi,Fri Jan 21 11:33:07 UTC 2022
Multipessoal,Wed Jan 19 18:09:46 UTC 2022
Gramado Parks,Thu Jan 13 22:53:38 UTC 2022
Grafana Labs,Mon Jan 03 22:13:13 UTC 2022
Profectum,Tue Nov 16 22:47:40 UTC 2021
Colégio Master,Mon Nov 08 10:40:57 UTC 2021
Pmweb,Fri Aug 27 10:52:06 UTC 2021
Santander Portugal,Wed Aug 18 17:45:02 UTC 2021
Rumos,Sat Aug 14 14:21:11 UTC 2021
Quarterhill,Sat Aug 14 14:19:16 UTC 2021
Alura,Tue Jun 01 01:08:40 UTC 2021
Dealernet,Wed Apr 21 11:19:19 UTC 2021
Grupo Alura,Thu Mar 18 12:22:42 UTC 2021
Canaltech,Thu Mar 18 12:22:39 UTC 2021
TecMundo,Thu Mar 18 12:22:38 UTC 2021
Scrum.org,Sat Dec 05 17:31:11 UTC 2020
BRAGA.RH,Thu Nov 05 19:18:22 UTC 2020
Invest Junior,Thu Jul 02 20:55:44 UTC 2020
Instituto de Gestão e Tecnologia da Informação,Mon Jun 22 11:23:40 UTC 2020
Banco Original,Fri May 01 21:13:44 UTC 2020
Banco Central do Brasil,Fri May 01 21:13:44 UTC 2020
Grupo Carrefour Brasil,Tue Apr 28 19:27:36 UTC 2020
Forbes Brasil,Tue Apr 28 19:27:28 UTC 2020
Smart Research,Sat Apr 25 18:29:29 UTC 2020
B3,Sat Nov 23 14:45:35 UTC 2019
Grupo Portfolio,Sat Nov 23 14:17:36 UTC 2019
CMGB* Gestão de Negócios,Sat Nov 23 14:17:35 UTC 2019
Farmácias Pague Menos,Sat Nov 23 14:17:35 UTC 2019
Harvard Business Review,Sat Nov 23 14:17:34 UTC 2019
KPMG Brasil,Sat Nov 23 14:17:33 UTC 2019
Grupo Mrh - Conveniada FGV,Sat Nov 23 14:17:32 UTC 2019
Estácio,Sat Nov 23 14:17:30 UTC 2019
Eneva,Sat Nov 23 14:17:27 UTC 2019
MJ Capacitações,Sat Nov 23 14:17:21 UTC 2019
Betânia Lácteos,Sat Nov 23 14:17:07 UTC 2019
EXAME,Sat Nov 23 14:16:58 UTC 2019
Olhar Digital,Sat Nov 23 14:16:45 UTC 2019
Fundação Getulio Vargas,Sat Nov 23 14:16:43 UTC 2019
Gerdau,Sat Nov 23 14:16:42 UTC 2019
Solar Coca-Cola,Sat Nov 23 14:16:39 UTC 2019
Grupo Marquise,Sat Nov 23 14:16:38 UTC 2019
Folha de S.Paulo,Sat Nov 23 14:16:38 UTC 2019
Red Hat Brasil,Wed Nov 20 23:06:53 UTC 2019
Warner Bros. Entertainment,Sat Nov 16 14:44:02 UTC 2019
Wyden,Wed Nov 13 10:27:06 UTC 2019
Vale,Tue Oct 15 09:55:46 UTC 2019
FIAP,Mon Oct 14 13:48:51 UTC 2019
Braslimp,Sat Oct 12 00:16:24 UTC 2019
Inter,Fri Oct 11 15:04:29 UTC 2019
ESTADÃO,Fri Oct 11 15:04:25 UTC 2019
Deloitte Brasil,Fri Oct 11 09:57:27 UTC 2019
Natura,Fri Oct 11 09:57:27 UTC 2019
The Coca-Cola Company,Fri Oct 11 09:57:25 UTC 2019
Banco do Brasil,Fri Oct 11 09:57:24 UTC 2019
Atlântico,Fri Oct 11 09:51:44 UTC 2019
MRV,Tue Oct 01 10:10:32 UTC 2019
Unimed Ceará,Tue Oct 01 10:10:27 UTC 2019
Cimento Apodi,Tue Oct 01 02:31:02 UTC 2019
Johnson & Johnson,Fri Sep 06 01:22:06 UTC 2019
Deloitte,Fri Sep 06 01:22:05 UTC 2019
Valor Econômico,Fri Sep 06 01:22:04 UTC 2019
LinkedIn,Fri Sep 06 01:22:02 UTC 2019
JBS,Fri Sep 06 01:22:00 UTC 2019
Ambev,Fri Sep 06 01:21:58 UTC 2019
Nestlé,Fri Sep 06 01:21:55 UTC 2019
IBM,Fri Sep 06 01:21:52 UTC 2019
