Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
A Linguagem Corporal da Liderança,"As pesquisas mostram que quando seus sinais verbais e não verbais estão fora de sintonia, as pessoas são forçadas a escolher entre o que ouvem e o que veem. No subconsciente, elas vão acreditar na sua linguagem corporal. Neste curso, a doutora e especialista em linguagem corporal no local de trabalho Carol Kinsey Goman revela como a linguagem corporal é vista e costuma ser mal interpretada. Ela compartilha os seis sinais não verbais que você precisa conhecer para causar uma primeira impressão positiva. Também fala da importância da linguagem corporal para líderes e mostra como você pode criar uma presença de liderança. Por fim, ela oferece dicas simples e eficazes sobre comunicação com gestos e postura.",Course,2020-11-27 19:19 UTC,N/A,false,N/A,
Como Lidar com Pessoas Difíceis no Trabalho,"Em todos os locais de trabalho, você perceberá que é mais difícil trabalhar com alguns colegas do que com outros. Antes de julgar precipitadamente, é prudente verificar se e como você contribui para a situação - afinal, é possível que você seja o problema. Se constatar que o problema não é você, este curso será ainda mais útil.<br><br>
Nele, Chris Croft compartilha métodos para reconhecer as características de alguns dos tipos mais comuns de pessoas difíceis e estratégias para lidar com essas pessoas de uma forma mais efetiva. Chris oferece técnicas para lidar com uma variedade de comportamentos, que incluem a negatividade, agressividade, infantilidade e egoísmo. Além disso, ele explica como superar seus pensamentos negativos e obter o melhor de um chefe difícil.",Course,2021-11-16 23:02 UTC,N/A,false,N/A,
Artist at Work: Complementary Colors,"Take a look over the shoulder of an artist at work. Mary Jane Begin, an award-winning illustrator and Rhode Island School of Design professor, sits down at the drawing board and explains how complementary colors—colors on opposite sides of the color wheel—can make your art, illustrations, and designs more compelling and vibrant. Learn how to layer colors of different hues and translucencies, play with light and shadow, and subtract color to create a sense of form. Plus, learn to neutralize a color's intensity simply by mixing it with its complement. Mary Jane illustrates these concepts through pastel on paper, but they can be applied to all types of media including digital endeavors.<br><br>Mary Jane uses the following materials in this course:
<ul>
<li>Arches 140 lb hot press paper</li>
<li>Tube watercolors- Winsor & Newton Cotman brand</li>
<li>Paper stumps for blending</li>
<li>Pastels- a variety of stick and pencil forms (including Conte pastel pencils) </li>
<li>Short, fat, fine-bristle Winsor & Newton #2 and #4 brushes (for scrubbing color off) </li>
<li>Sceptre Gold II sable/synthetic blend #3, #6, and #10 brushes</li>
<li>Winsor & Newton Cotman brand 25 mm/1 in. flat brush (for washes) </li>
</ul>",Course,2020-05-11 22:32 UTC,N/A,false,N/A,
Amazon Redshift Essentials,"If you need to store, query, and manage a large amount of data, AWS Redshift is one of the most approachable, easy-to-use options that’s currently available on the market. Not only that, Redshift offers fast, cloud-based analytics and data warehousing at scale. In this course, instructor Jeremy Villeneuve gives you a quick introduction to the essential perks of Redshift.<br><br>Get a better understanding of big data fundamentals, Redshift, data warehousing, and relational database management. Explore the Redshift user interface and customized configuration options with a hands-on tutorial and sample dataset. If you’re an early-career developer, Jeremy shows you what you need to know to get the most out of Redshift as a product, including best practices for data optimization, data distribution, storage, cost management, and more.",Course,2025-02-14 12:44 UTC,N/A,false,N/A,
Fundamentos da Avaliação de Desempenho,"Torne as avaliações de desempenho mais úteis e motivadoras e menos estressantes para você e seus funcionários. Neste curso, Todd Dewett mostra como conduzir avaliações de desempenho eficazes, explicando como definir metas apropriadas, coletar feedback, escrever a avaliação formal e realizar reuniões produtivas com os funcionários. Ele também mostra como implementar atividades de avaliação de desempenho em seu estilo de gestão, para que a avaliação não seja apenas uma conversa anual.  ",Course,2022-07-03 23:20 UTC,N/A,false,N/A,
SQL Server Integration Services,"SQL Server Integration Services (SSIS) is one of the core add-on components to SQL Server. With SSIS, professionals can create automated workflows that streamline the process of consolidating data from a wide variety of sources. Through a process called ETL—extract, transform, and load—you can ingest and move data between systems such as other databases, flat data files, and even online repositories. In this course, Adam Wilbert helps you get up and running with SSIS. Adam shows how to work with different control flow tasks, data sources, connections, and transformations. Plus, see how to add variables to control package execution, run packages with T-SQL, and more.",Course,2025-07-15 15:15 UTC,N/A,false,N/A,
Como Criar uma Cultura de Autorresponsabilidade,"Os líderes devem ser um exemplo de responsabilidade para o resto da organização, ou seja, devem criar confiança e estabelecer sua própria credibilidade. Os funcionários devem assumir as responsabilidades de seu trabalho, tanto individual como coletivamente. Quando líderes e funcionários assumem suas responsabilidades, é criada uma cultura de autorresponsabilidade que passa a fazer parte da promessa de marca da organização. Neste curso, o consultor de liderança e coach executivo Mike Figliuolo revela como criar uma cultura de responsabilidade a nível individual, de equipe e empresarial. No processo, ele mostra como definir expectativas para os funcionários, como criar incentivos e como ajustar a prática da responsabilidade com os valores de sua organização.",Course,2019-10-01 10:14 UTC,N/A,false,N/A,
Lucas Longo responde sobre desafios do mundo da programação e das novas tecnologias,"Quer saber mais sobre o mundo da programação ou se tornar um programador? Neste curso Lucas Longo responde às perguntas mais comuns como: o que é a programação, o que é uma linguagem de programação, o que faz um programador entre várias outras perguntas relacionadas à uma potencial carreira de programador, tanto CLT, trabalhando em uma empresa, quanto PJ, trabalhando para si mesmo. Esse curso é para quem não conhece o mundo da programação mas, também serve para quem está começando na carreira de programador.",Course,2022-04-29 13:53 UTC,N/A,false,N/A,
SQL Server Database Triggers,"SQL Server database triggers help database developers automate routine tasks. Triggers wait for an activating event to occur, then immediately respond with preprogrammed operations. This course, from database expert Adam Wilbert, takes a deep dive into leveraging these powerful and flexible components of a SQL Server database. Follow along and learn how to create and deploy different types of triggers, and get hands-on experience using triggers to solve common problems, such as timestamping data changes or collecting information about table events. Adam also helps you manage your database triggers: enabling, disabling, and reordering triggers as necessary. Plus, follow along with a hands-on project in chapter six, which uses triggers to perform tasks automatically in an inventory management system, such as updating inventory when new product is received.",Course,2022-11-28 12:52 UTC,N/A,false,N/A,
Como Influenciar as Pessoas,"Já teve problemas para convencer alguém a fazer algo, mesmo pensando no melhor para a pessoa? Às vezes as pessoas não cedem, mas felizmente existem outras ferramentas à disposição além de recompensas e punições. Junte-se a John Ullmen, PhD, que vai lhe explicar como influenciar as pessoas em momentos decisivos aplicando 18 métodos cientificamente comprovados. Seja para influenciar no trabalho ou em casa, você vai aprender o que as pessoas mais influentes fazem antes de exercer influência. Saiba como escolher os melhores passos em cada situação e como fazer para que as pessoas queiram ser influenciadas por você.",Course,2019-11-16 14:44 UTC,N/A,false,N/A,
